nombre,telefono,mail,web,referentes
Agrupación de Funcionarios de UTE,2924 3334 | 2924 3351,aute@aute.org.uy,http://www.aute.org.uy,Gabriel Sotos| presidente| Leticia Betarte| secretaria
Aldeas Infantiles SOS,24002353,comunicacion@aldeasinfantilessos.org.uy,http://www.aldeasinfantiles.org.uy,María Luisa von Metzen| Presidenta| Ana Inés Zignago| Directora Nacional
AMBÁ,098958564 | 099980237,info@amba.org.uy,http://amba.org.uy,
American Association of Uruguay,,americanassociationuruguay@gmail.com,http://sites.google.com/site/americanuruguay/,Rosalinda Walker| Presidenta| Tracy Winter| Secretaria
América Mama Uruguay,,americamama@adinet.com.uy,http://www.americamamauruguay.com.uy,Enrique Folle| Presidente
Alternativa Chuy,4474 4246,alternativachuy@gmail.com,http://www.chuynet.com/sociedad/alternativa,Lilián Techera Colombo| Presidenta
Alianza Cristiana y Misionera,4622 5201,iglesia@alianzabetel.com.uy,http://www.alianzabetel.com.uy/,René Echeverría| Pastor
ALETEA.ORG,,aletea@aletea.org,http://www.aletea.org    -    www.facebook.com/pg/aleteauy/,
Agencia de Promoción Económica de Rio Negro - Fundación Río Negro Ahora,4562 1411,agencia@agenciarionegro.org.uy,http://www.agenciarionegro.org.uy,Sergio López Postiglione| Gerente| Laura Vittori| Técnica
Algo por Alguien,099192566,mbeduchaud@gmail.com,http://www.facebook.com/groups/algoporalguien/?fref=ts,Dina Girsbergies - Voluntaria| Martha Béduchaud - Voluntaria| Patricia Burgos - Voluntaria
Archiveros Sin Fronteras Uruguay,94111450,contacto@aua.org.uy,http://www.aua.org.uy,Arch. Gabriel Queijo| Presidente| Mag. Stella Infante| vicepresidente| Lic. Mirtha Duarte| Secretaria
Árbol Televisión Participativa,2403 2147,comunicacion.arbol@gmail.com,http://www.arbol.org.uy,Florencia Villaverde| integrante del Colectivo Árbol| Marcelo Oliver| integrante del Colectivo Árbol| Agustín Alén| integrante del Colectivo Árbol
Aprendiendo a Ser,2410 4267,,,María del Socorro Alvariza de Veríssimo
Alianza de Bomberos del Uruguay,91277729,freddy.silvera@abu.com.uy,http://www.abu.com.uy,Jose Caceres - Presidente| Freddy Silvera - Secretario general| Antonia Maciel - Secretaria de Prensa
Agremiación de Funcionarios de Cooperativas de Consumo,2409 2042,afcc@adinet.com.uy,,Walter Morás| Delegado
Agrupación Universitaria del Uruguay,2711 4210,,http://www.audu.org.uy,Hugo Daniel Alza| Presidente| Paola Ghio| Vicepresidenta| Carina Curci| Secretaria Gral
Animalma,095532860,animalma93@gmail.com,http://www.animalmaong.com/,Katja Apdelgani
Animales Perdidos y Encontrados Uruguay,,,http://Facebook: Animales Perdidos Y Encontrados URUGUAY - APYEU Comunidad,
Apostasía Colectiva del Uruguay,,contacto@apostasiauruguay.org,http://www.facebook.com/apostasia.uruguay,
Andresito de las Flores - Centro CAIF Abejitas de las Flores,4772 2141,,,
"Anfiteatro ""Canario Luna""",,espaciocilindrico@gmail.com,http://www.facebook.com/pages/category/Community/Anfiteatro-Canario-Luna-153607717985419/,PABLO GIORDANO PRESIDENTE| JORGE PERAZZA SECRETARIO| DAMIAN ROJAS TESORERO
Asociación Amigos del Museo de La Paloma,4479 9784 | 099934137,museolapaloma@gmail.com,,
Ángeles en Libertad Refugio de Animales Salinas,,refugioael@hotmail.com,http://www.facebook.com/AngelesenLibertadUruguay/,
Asociación Amigos del Museo Aeronáutico,2215 2215,aamameregalli@hotmail.com,http://www.artemercosur.org.uy/,Roberto Rodríguez| Director| Gustavo Urban| Sub. Director
Asociación APRO CAIF - Centro CAIF Racimito,45424922 | 098445694,caifracimito@gmail.com,,
Agrupación Pro Bienestar Integral del Anciano de Minas,4442 3687,hogar2@hotmail.com,,María González| Encargada
Alternativas,094 312 599,sjorcin@gmail.com,,Susana Jorcín| Presidente | Graciela Leguizamo| Secretaria | Enrique Fernández| Tesorero
Asociación Alberto Methol Ferré,2711 0496,info@metholferre.com,http://www.metholferre.com/,Fernando González Guyer| Presidente
Anaxigaut Epaj,+598 98261618,anaxiguatepaj@gmail.com,http://Anaxiguat Epaj,Santiago Ferreira| Sandra Noe| Silvina Nieto
Asociación Amigos de la Tercera Edad Amanecer,4696 1184,,,
Asociación Agropecuaria de Dolores,4534 2324 | 091 732 201,aad@vera.com.uy,http://www.aad.org.uy,Hernán De la Fuente| William Méndez| Lázaro Bacigalupe
Asociación Agropecuaria de Artigas,4772 2256,aaa01@adinet.com.uy,http://Facebook: www.facebook.com/AAdeArtigas,
Animal Help,2292 0988 | 098851646 | 094676181 (solo recibe llamadas),animalhelp@hotmail.com,http://www.facebook.com/animalhelp.org/,Mary Brown| .| .
"Asociación Civil ""Abriendo Nuevos Caminos""",099047463,abriendocaminosdelplata@gmail.com,http://http//abriendo-nuevos-caminos.webnode.com.uy,Prof. Ana Acosta| Prof. Rafael Reyes
Asociación Abba Jose,4443 3445 | 4442 9087,,,Gustavo Clericci| Presidente| Liria Urquiola| Secretaria| Ofelia Cerrada| Tesorera
Asociación Ciudadana por los Derechos Civiles,2908 7980,estudiogossi@gmail.com,,Roberto Gossi| Presidente
Asociación Celíaca del Uruguay,29026966  \  098047251,consultas@acelu.org,http://www.acelu.org,Susana Tchekmeyan| Presidenta| Laura Berro| Secretaria
Asociación Abejitas - Centros CAIF Abejitas y Los Younguitos,4567 4328 (Abejitas) | 4567 7400 (Younguitos),caifabejitas@gmail.com | caifyounguitos@gmail.com,,Angel Osvaldo Montero Sena| Presidente| Oscar Macedo| Secretario| Roberto Martínez| Tesorero
Asociación Civil 20 de Setiembre,,20setiembresecretaria@gmail.com,http://www.20desetiembre.org,Elbio Laxalte Terra| presidente| Nancy Medina| Vicepresidente| Silvia Balladares| secretaria
Asociación Bioquímica Uruguaya,2900 6340,secretaria.abu@gmail.com,http://asociacionbioquimicauruguaya.org,Fernando Antunez| Presidente| Cristina Servetto| Vicepresidente| Natalia Pereira| Secretaria
Asociación Barrios Durán| Duraznito y La Curva - Centro CAIF Travesuras,4362 0485,,,
Asociación Ayuda Integral al Discapacitado de Rocha,4472 8866,aidro@adinet.com.uy,,
Asociación Bañados de Carrasco - Montevideo Rural,2600 8916 | 099643102,abcrural@gmail.com,http://www.abcrural.org.uy,Giannina Orcasberro| Juanita Bruzzone
Asociación Carmencita - Centro CAIF Carmencita,4682 5596,caifcarmencita@gmail.com,,
Asociación Centro Esperanza Ombúes de Lavalle,4576 2620,centro.esperanza@adinet.com.uy,,Gabriela Beramendi| Directora Técnica| Gloria Castro| Presidenta| Juan Angel Fortunato| Responsable área médica
Asociación Autismo en Uruguay,098874192,arlenraquel@yahoo.com,http://autismouruguay.com,Raquel Navarro (Presidenta)| Marcha Perdomo (Secretaria)| Pablo Rodriguez (Tesorero)
Asociación Certificadora de la Agricultura Ecológica del Uruguay,098759791,certificacionred@gmail.com,http://Facebook: @redagroecologia.uy,Yolanda Araujo| Secretaria
Asociación Agropecuaria de Salto,4733 2110,aasalto@adinet.com.uy,http://www.aas.com.uy,Juan Manuel Bartaburu| Omar Burutarán| María Mattos
Asociacion Atu Asperger TEA en Uruguay,094360494,asociacionatu2015@gmail.com,http://  www.facebook.com/pg/ATUasperge,Patricia Ballesta presidenta| Ximena appratto secretaria| Dolores Vidal tesorería
Asociación Civil Arcoiris Solidario,98699318,recepciontbo@gmail.com,,María Zulino Martínez| Presidenta| Sonia González| Vicepresidenta| Ruben García| Secretario
Asamblea Pachamama,099 729 839,info@asambleapachamama.org,http://asambleapachamama.org/ - www.facebook.com/AsambleaPachamama,Germán Parula| Coordinador gparula@tdd.edu.uy|
Asociación Asistencial y Cultural La Esperanza,2683 0201,aeroesperanza@adinet.com.uy,,
Asociación Civil Años Dorados,4654 3055 | 091214645,,,Dilma Sosa
Asociación Canaria de Autismo y TGD Uruguay,2292 3187,acatupando@gmail.com,http://www.acatuuruguay.org,Camilo Negro| Dirección Técnica| Norberto Pérez| Director Médico
Asociación Civil Ánima TEC,29093640,info@anima.edu.uy,http://anima.edu.uy,Ximena Sommer| Directora Ejecutiva| Ignacio Puppo| Dolores Buján
Asociación Civil Amigos de la Infancia - Centros CAIF Los Sabalitos y Manos Unidas,4586 2872 l 4552 3463,sabalito28@adinet.com.uy,,
Asociación Civil Amigos del Padre Pio,4248 2879,,,
Asociación Civil Anawim,098336092,anawimmaldonado@gmail.com,http://www.anawimmaldonado.com,María Inés Fernández - Presidenta| Julia Barboza - Secretaria| Ma.Stella Noguez - Socia
Asociación Civil Abriendo la Cancha - Centro CAIF Pasito Central,4632 1266,,,
Asociación Civil Animales sin Hogar,,info@animalessinhogar.com.uy,http://www.animalessinhogar.com.uy,
Asociación Civil Amanecer en el Campo,2347 8362,info@amanecerenelcampo.net,http://www.amanecerenelcampo.net,Lila Suárez| Noé Méndez| Rodrigo Sande
Asociación Civil Africanía,2410 6745 | 099 354406,toliverach@hotmail.com,http://www.africania.com.uy,Tomás Olivera Chirimini
Asociación Civil Cerro Colorado - Centro CAIF Dr. Alberto Gallinal,4318 2192,caifcerrocolorado@gmail.com,,Elena Arrillaga| Presidenta
Asociación Civil Cerro Caquero - Centro CAIF Centro Caquero,4623 3358,caifcerrocaquero@hotmail.com,,
Asociación Civil Casa Lunas,4512 1715 | 4514 5144,calunas@gmail.com,http://www.casalunas.org - www.facebook.com/casa.lunas,Virginia Hill| Presidenta| Cecilia Alvarez| Secretaria| Fabiana Barrios| Coordinadora
Asociación Civil Casa de los Caramelos - Centro CAIF Jardín de los Caramelos,2924 2760,caifloscaramelos@gmail.com,,
Asociación Civil Centro Abierto,4623 1575,centroabierto_rivera@hotmail.com,,Bernardo Alver| Director| Rosana Casal
Asociación Civil Casa Ambiental de Castillos,4475 7210,casaambiental@gmail.com,,Ariel Tortorela| María Juana Silveira
Asociación Civil Carlos Reyles - Centro CAIF Carlos Reyles,4368 2019,caifcarlosreyles@hotmail.com,,
Asociación Civil Amaneceres,2204 4546,asocamaneceres@hotmail.com,http://www.asociacionamaneceres.org/,Andrea Dos Santos| Directora
Asociación Civil Antarkos,2600 0251,presidente@antarkos.org.uy,http://www.antarkos.org.uy,Ricardo Schunk| pesidente| Waldemar Fontes| Secretario
Asociación Civil Abriendo Caminos,4332 3454,abriendocaminos@adinet.com.uy,,Estela Tarantelli| Paola Revellato
Asociación Civil Casa del Niño - Centro CAIF Casa del Niño,4642 2422,casaninio@adinet.com.uy,,Beiquis Viera
Asociación Civil Bienestar Social - Centro CAIF Padre José A.Novoa,2411 0667,caifpadrenovoa@gmail.com,,Susana Rivero| Coordinadora
Asociación Civil Dame tu Mano,096 31 09 15 / 097 202 300,contactodametumano@gmail.com,http://www.dametumano.org,Sonia Waisrub| Presidenta| Raquel Paniagua| Vicepresidenta| Sandra Cuende| Secretaria
Asociación Civil Creciendo entre Serranías - Centro CAIF Serranitos,4443 3608,Caifserranitos@hotmail.com,,
Asociación Civil Creciendo en Familia - Centros CAIF Las Semillitas y Cuna de mis Sueños,4574 8172,caif_lassemillitas@hotmail.com,,
Asociación Civil COOPERARE,2409 7534 |Celular servicio técnico: 095 981 640598,cooperare@cooperare.org.uy,http://www.cooperare.org.uy,Walter Russo| Presidente| Walter Hernández| Capacitador| Ana Gómez| Secretaria
Asociación Civil Cuchilla de la Gloria - Centro CAIF Cuchilla de la Gloria,4664 6320,,,
Asociación Civil Conejitos - Centro CAIF Conejitos,4472 7148 | 4472 5283,carmenmorenoamorin@gmail.com,,
Asociación Civil Comisión Salud Pueblo La Paloma,,,,
Asociación Civil Comunidad Emaús Maldonado,4225 0537 - 4224 9314 - 094 009 371,emausmaldonado@gmail.com,http://emmaus-international.org,Miguel Cornero| Responsable Administración y Relaciones Públicas| Alberto Alvez| Responsable Área Educativa y Social
Asociación Civil Canelones De-Muestra,099165485,canelonesdemuestra@gmail.com,http://canelonesdemuestra.org.uy,Rafael Benitez| Presidente| Ana Rostani| Secretaria| Alejandro Rubbo| Asesor
Asociación Civil Club Social y Deportivo La Pedrera,,info@vecinosdelapedrera.com,,
Asociación Civil Compromiso - Centro CAIF Trencito de colores,2292 9683,trencitodecolores2010@hotmail.com,,
Asociación Civil Círculo de Amigos de Salto,4732 5188,,,Iris Peña| Presidenta| Teresa Burgos| Secretaria| Elsa Sanguinetti| Tesorera
Asociación Civil Barrios Unidos en Marcha - Centro CAIF Canikas,4362 2162,buemcanikas@hotmail.com,,Edison Fernández
Asociación Civil Comisión de Vecinos de Barra de Valizas,98313460,,,Marcos Mattos
Asociación Civil Capilla del Sauce - Centro CAIF Capilla del Sauce,4360 7418,caif.capilla@adinet.com.uy,,
Asociación Civil Educación Solidaria,2200 1319 | 2200 1319,educacionsolidaria@educacionsolidaria.org,http://www.educacionsolidaria.org,Gastón Navarro| Presidente| Ezequiel Mora| Secretario
Asociación Civil Dr. Mario Rodriguez Zorrilla - Centro CAIF Dr. Mario Rodriguez Zorrilla,4294 1150,caifdesauce@gmail.com,,
Asociación Civil Dionisio Díaz - Centro CAIF Dionisio Diaz,4311 6126,,,
Asociación Civil Don Bosco - CAIF Casita de María,2511 9703 | 2514 1289 - 092323930,aaccdonbosco@adinet.com.uy,,Pilar Lopez
Asociación Civil El Bosque - Centro CAIF El Bosque,4432 7700 | 4432 7900,no tiene,,
Asociación Civil Ecofamilia - Centro CAIF Ecofamilia,2364 0525,caifecofamilia2@gmail.com,,
Asociación Civil El Abrojo,2903 0144 / 2900 9123,secretaria@elabrojo.org.uy,http://www.elabrojo.org.uy,Paula Baleatto| Pedro Del Prato| Beatriz Pons - Presidenta
Asociación Civil de Personas Privadas de Libertad,096746029,asocideppl16@gmail.com,http://www.facebook.com/asocideppl.asocideppl.9?fref=ts,
Asociación Civil Dientitos de Leche - Centro CAIF Dientitos de Leche,4574 4612,dientitosdeleche@hotmail.com,,
Asociación Civil de Hipertensión Pulmonar Uruguay,94323742 - 096252721,adhipu.uruguay@gmail.com,http://adhipu.org.uy,Claudia Sessa| presidenta contacto@adhipu.org.uy
Asociación Civil de Ayuda al Niño y al Anciano - Centro de Rehabilitación Psicofísica,4347 1833 | 2347-5440 (CEDER),asociacionasana@hotmail.com,http://www.centroceder.org,Yolanda Vicente| Presidenta ASANA| Mariela Méndez Denes| Directora CEDER| Karina Suárez| Secretaria Administrativa
Asociación Civil de los Barrios Tropezón y Tablero - CAIF Tortuguitas I y Tortuguitas II,4779 3640,,,
Asociación Civil Cippus,2506 9159,cippus@adinet.com.uy,http:// www.facebook.com/CIPPUS-ONG-118384368193705/,Fernando Olivera| Director DEL CARDAL| Nora Castillo| Ana Curbelo
Asociación Civil Comisión Vecinal Barrio Dos Naciones,4733 1100,lorenadayan@hotmail.com,,Miguel Pertusatti| Presidente| Nélida Guimaraes| Vicepresidenta| Mary Guimaraes| Secretaria
Asociación Civil Barrios Unidos - Centro CAIF Ardillitas de Algodón,4772 0797,ardillitascaif@hotmail.com,,
Asociación Civil Abrazo del Solís Grande,44390161 | 44390455 | 094328644,osuare@adinet.com.uy,,Ángel Gandolfo Rosas| Presidente| Osvaldo Suárez Zeballos| Secretario| Alejandro Burgueño| Tesorero
Asociación Civil Artigas - Centro CAIF Garabatos,4364 5603,caifgarabatos@gmail.com,,
Asociación Civil de Apoyo a la Rehabilitación e Integración Social,2604 1604,info@aris.org.uy,http://www.aris.org.uy,
Asociación Civil Chiquillada de Melo - Centro CAIF Chiquillada de Melo,46420564,caifchiquilladamelo@hotmail.com,,
Asociación Civil de Padre Otto Brand -  CAIF Centro Infantil Nuestra Señora De  Lourdes II,29010165 099831757,centrolourdes@adinet.com.uy,,Zulma Fierro- Presidenta  099553469| Daniel Parra 091719200- Tesorero
Asamblea Nacional Permanente en Defensa de la Tierra y los Bienes Naturales,,silviape2001@yahoo.com,http://endefensadelatierraylosbienesnaturales.noblogs.org/,Alvaro Jaume| Carmen Sosa
Asociación Civil Hogar La Barca,2355 0833,labarcafamilai@gmail.com,http://www.labarca.org.uy/,Pablo Domínguez| Director| Diego Silva Valerio| co director
Asociación Civil Abejitas Laboriosas - Centro CAIF Abejitas Laboriosas,4642 7645,caifabejitas@hotmail.com,,Driana Perera Das Neves| Presidenta| Sergio Arbuet| Secretario| Ruben Duarte Ocáriz| Tesorero
Asociación Civil Hogar de Ancianos de Treinta y Tres,4452 2485,cao_2264@hotmail.com,,Leonel López| Presidente| Carlos Anibal Obispo| Encargado| Juana María Tarán| Secretaria
Asociación Civil Gallito Azul - Centro CAIF Gallito Azul,4364 6487,,,
Asociación Civil Ayuda a la Infancia de Nuevo Berlín - Centro CAIF Los Pitufos,,,,Laura Pulero| Coordinadora de Gestión
Asociación Civil Gloria Maraboto - Los Maragatitos,2347 5330,maragatitos@adinet.com.uy,,Gladys De Los Santos
Asociación Civil Espiritual Mundial Brahma Kumaris - Uruguay,094 348 942,montevideo@uy.brahmakumari.org,http://www.facebook.com/Brahma-Kumaris-Uruguay-359283320848608/,Equipo Coordinador
Asociación Civil Encuentro - Centro CAIF Encuentro,2513 2014,caifelalfarero@gmail.com,,
Asociación Civil Despertares. Programa Nuestros Niños,24008307,cceidespertares@gmail.com,,Javiera Andrade
Asociación Civil Grupo Centro,2902 7836 | 095286098,agrupocentro@gmail.com,http://www.grupocentro.net,Federico Celsi - Presidente| Ana Loffredo - Secretaria
Asociación Civil El Viejo Timbó,099422783 | 098393869,elviejotimbo@adinet.com.uy,,Danilo Peirano| Presidente| Walter Silva| Vicepresidente
Asociación Civil Escuela Nº56,,,,
Asociación Civil Emir Ferreira Avila,098778417 | 4622 3714,,,Marlene Duarte
Asociación Civil Las Chispitas - Centro CAIF Las Chispitas,4530 2687,caiflaschispitas@adinet.com.uy,,
Asociación Civil Las Hojitas Viajeras - Centro CAIF Hojitas Viajeras,4747 2010 | 098960818,hojitasviajeras@yahoo.com,,
Asociación Civil Las Semillitas - Centro CAIF Los Trompitos,4367 8960,lostrompitos@adinet.com.uy,,
Asociación Civil Las Naranjitas Verdes - Centro CAIF Las Naranjitas Verdes,4750 4115,naranjitasverdes@hotmail.com,,Daniela Gallardo
Asociación Civil Juntos por Un Sueño,26816491,juntosporelcentro@gmail.com,,Horacio Ponce - Presidente| Marta Piña - Vicepresidenta| Sebastian Morales - Secretario
Asociación Civil Grupo de Padres de Niños con Discapacidad de Villa Constitución,,mvmt080806@hotmail.com,,María del Verdún Meroni| Presidenta
Asociación Civil La Experimental,098762595 | 098820863 | 098918160,difusionlaexperimental@gmail.com,http://www.facebook.com/Sala-La-Experimental-Centro-Cultural-357036854419754/,Susana Gascue| Presidenta| Pilar Olascoaga| Secretaria| Raquel Seara| Integrante Comisión Directiva
Asociación civil IRU Caif Anacahuita,23120806 098094059,asoc.civil.iru@gmail.com,,Emeritia Silveira| presidenta
Asociación Civil Investigación y Desarrollo,25258618 int 150 098784435,correo.imasd@gmail.com,http://imasd.fcien.edu.uy,Laura Montes de Oca| Franco Teixeira de Mello
Asociación Civil La Cotorra,2312 1765,cotorrafm@hotmail.com,http://www.lacotorrafm.com,José Imaz| Alejandra Morales| Diego Gómez
Asociación Civil Horizonte 989 - Radio Horizonte FM,472 35063 | 099333349,horizonte989@hotmail.com,http://www.horizonte989.org,
Asociación Civil El Ombú - Centro CAIF El Ombú,4622 1564,caifelombu@hotmail.com,,Karina Bueno| Presidenta| Lilian Padern| Secretaria
Asociación Civil Las Ranitas 2000 - Centro CAIF Ranitas,4562 7126 | 098527040,caiflasranitas@hotmail.com,,
Asociación Civil El Paso,2309 6171,info@ongelpaso.org.uy,http://www.ongelpaso.org.uy/,Andrea Tuana| Cristina Prego
Asociación Civil El Candil - Radio La Heladera FM,4455 7570 | 098691069,heladera@adinet.com.uy,http://laheladera106.blogspot.com,
Asamblea Instituyente por Salud Mental Desmanicomialización y Vida Digna,,,http://asambleainstituyente.blogspot.com.uy | www.facebook.com/Asamblea-Instituyente-por-Salud-Mental-Desmanicomialización-y-Vida-Digna,
Articulación Feminista Marcosur,2901 8782 | 2902 0393,afm@mujeresdelsur-afm.org.uy,http://www.mujeresdelsur-afm.org.uy,Lucy Garrido| Lilián Celiberti
Asociación Civil Idas y Vueltas. Organización para la defensa de los derechos de los migrantes,099376605,idasyvueltasong@gmail.com,http://idasyvueltas.com.uy,Rinche Roodenburg - Presidenta| Aída García Gómez - Secretaria
Asociación Civil El Jardín - Centro CAIF El Jardín,4688 9301,jardinfrailemuerto@gmail.com,,
Asociación Civil Mujeres del Obelisco,2365 5907 | 2365 2988 | 091029507,mujeresdelobelisco@gmail|com,,Margot Suárez| Presidenta| Isabel Guerrero| Secretaria
Asociación Civil La Anunciación - Centro CAIF La Anunciación,4288 9065,caiflaanunciacion@gmail.com,,
Asociación Civil Mujeres como Vos,4733 6022,mujerescomovossalto@hotmail.com,,Norma Lapaz| Sandra Gomez| Paula Fernandez
Asociación Civil Mi Zoo Rivera,4623 2959,raquelliz@hotmail.com,http://www.facebook.com/EnUruguayTambienQueremosALosAnimales,Neber Lisboa| Raquel Martínez
Asociación Civil Inteligencias Múltiples,,aim14072011@gmail.com,http://www.asociacioncivilinteligenciasmultiples.blogspot.com.uy/2011/08/rbc-ituzaingo.html,Elisa Picos - Presidenta| Omar Spinelli - Secretario
Asociación Civil Juan Jorge Lladó - Centro CAIF Los Horneritos de Durazno,4360 5187,caifloshorneritos@gmail.com,,Evangelina Alvez
Asociación Civil Nativos Punta Negra,098701560,nativospn@gmail.com,http://www.facebook.com/Nativos-Punta-Negra-Grupo-de-Acciones-para-la-Protecci%C3%B3n-Ambiental-406638432867223/?ref=bookmarks,Guzman Bernasconi| Presidente| Gerardo Rasenti| Secretario| Naybi Ferreira| Tesorera
Asociación Civil Mensajeros de la Paz - Uruguay,2312 4010,caifmensajeros@gmail.com,,Martín Bensión| Representante apoderado
Asociación Civil Los Macachines - Centro CAIF Macachines,4560 6542,losmacachines_caif@hotmail.com,,
Asociación Civil Mi Casita de Migues - Centro CAIF Mi Casita de Migues,4317 3119,caifmicasitademigues@gmail.com,,
Asociación Civil Maestra Juana Guerra,4222 2357 | 098 553 303,asociviljuanaguerra@hotmail.com,http://ongmaestrajuanaguerra.blogspot.com,Gabriel Medina Rodríguez| Presidente| Teresa Rosas Medero| Secretaria| Diana Domínguez Perdomo| Tesorero
ARCOIRIS CAIF,22151418-  091654452,caifarcoirisosc@gmail.com,http://caifarcoiris1988@gmail.com,Marta Ensoñat
Asociación Civil Los Gorriones de Trinidad - Centro CAIF Los Gorriones,4364 3988 | 4364 8115,caifgorriones@hotmail.com,,
Asociación Civil Liceo Espigas,22201371,liceoespigasdireccion@gmail.com,http://www.fundacionretonio.com/liceo.html,Ernesto Egaña| Director
